step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
134,0,2729,2729,1,44695848,2.652,2.855,68.198,67.868,59.941,0.042,69.379,8.356,140.476,161.781
135,0,2729,2729,1,44695848,2.698,2.911,65.497,7.895,57.240,0.054,45.508,2.781,113.972,124.774
136,0,2729,2729,1,44695848,23.874,2.755,65.342,7.942,57.042,0.041,67.213,6.740,135.353,175.322
137,0,2729,2729,1,44695848,24.456,3.134,65.109,64.725,56.913,0.045,70.316,6.617,138.606,179.015
138,0,2729,2729,1,44695848,2.978,3.092,64.074,8.285,56.824,0.040,45.550,2.808,112.758,123.877
139,0,2729,2729,1,44695848,2.634,2.838,65.269,7.963,57.119,0.042,45.402,2.774,113.554,123.845
140,0,2729,2729,1,44695848,24.466,3.132,66.412,8.087,57.945,0.054,70.140,6.928,139.741,181.275
141,0,2729,2729,1,44695848,2.988,3.046,64.575,7.990,56.222,0.050,70.466,7.331,138.140,159.463
142,0,2729,2729,1,44695848,24.519,3.124,64.876,8.041,56.656,0.044,69.234,7.008,137.279,178.632
143,0,2729,2729,1,44695848,2.964,3.098,64.632,8.204,56.254,0.041,68.695,6.773,136.468,156.183
144,0,2729,2729,1,44695848,2.975,3.066,65.535,8.300,56.882,0.043,68.249,6.733,136.895,156.353
145,0,2729,2729,1,44695848,2.958,3.125,64.607,8.017,56.218,0.055,68.689,6.732,136.478,156.114
146,0,2729,2729,1,44695848,2.979,3.100,65.051,8.111,56.756,0.041,69.625,7.432,137.819,159.091
147,0,2729,2729,1,44695848,2.959,3.093,65.490,7.944,57.198,0.050,68.221,6.827,136.857,156.604
148,0,2729,2729,1,44695848,2.985,3.003,64.628,64.303,56.343,0.040,68.703,6.692,136.375,156.005
149,0,2729,2729,1,44695848,24.460,3.134,66.021,8.245,57.418,0.054,70.146,6.921,139.357,180.243
150,0,2729,2729,1,44695848,23.923,2.755,69.787,12.067,57.526,0.043,66.267,6.744,138.855,178.629
151,0,2729,2729,1,44695848,24.871,3.129,65.542,65.128,57.019,0.056,69.121,6.747,137.851,179.971
152,0,2729,2729,1,44695848,2.982,3.063,65.754,8.039,57.325,0.053,69.593,6.993,138.464,159.168
153,0,2729,2729,1,44695848,24.542,3.119,65.434,8.275,59.075,0.053,68.893,6.953,137.501,178.829
154,0,2729,2729,1,44695848,2.981,3.067,65.131,64.822,56.584,0.051,47.437,3.259,115.690,127.402
155,0,2729,2729,1,44695848,2.697,2.800,65.697,8.104,57.456,0.041,45.227,2.770,113.768,124.300
156,0,2729,2729,1,44695848,2.986,3.091,65.547,8.230,56.960,0.050,17.758,2.910,86.448,97.399
157,0,2729,2729,1,44695848,2.644,2.780,64.997,8.224,56.609,0.055,70.012,7.007,137.848,158.002
158,0,2729,2729,1,44695848,2.626,2.772,65.214,35.004,58.942,0.045,18.380,2.780,86.413,96.906
159,0,2729,2729,1,44695848,2.642,2.758,65.302,64.965,58.835,0.045,18.377,3.004,86.485,97.281
160,0,2729,2729,1,44695848,2.688,2.850,65.515,8.212,57.139,0.054,67.851,6.799,136.272,155.579
161,0,2729,2729,1,44695848,2.995,2.981,65.531,8.252,56.919,0.050,71.462,6.979,140.027,160.275
162,0,2729,2729,1,44695848,3.014,3.230,64.437,8.166,56.103,0.040,70.265,7.381,137.974,159.388
163,0,2729,2729,1,44695848,23.841,2.759,65.093,8.122,56.781,0.042,69.657,6.957,137.553,178.151
164,0,2729,2729,1,44695848,2.663,2.810,65.995,8.144,57.511,0.041,69.588,6.941,138.437,158.539
165,0,2729,2729,1,44695848,2.624,2.792,65.127,8.076,56.853,0.044,45.692,2.789,113.657,124.392
166,0,2729,2729,1,44695848,24.434,3.092,66.326,8.132,57.808,0.046,70.123,6.930,139.590,181.007
167,0,2729,2729,1,44695848,2.645,2.848,64.947,7.830,56.763,0.053,71.126,6.935,138.977,159.037
168,0,2729,2729,1,44695848,2.622,2.802,65.966,7.981,57.646,0.055,69.706,6.965,138.533,158.728
169,0,2729,2729,1,44695848,2.637,2.774,64.877,8.115,56.406,0.044,68.550,6.792,136.248,155.559
170,0,2729,2729,1,44695848,2.653,2.802,64.570,7.858,56.358,0.041,45.413,2.781,112.828,123.559
171,0,2729,2729,1,44695848,2.650,2.827,65.682,8.144,57.324,0.055,69.966,7.013,138.533,158.835
172,0,2729,2729,1,44695848,2.968,3.126,64.695,7.704,56.674,0.041,68.650,6.709,136.515,156.203
