step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
173,0,2729,2675,3,44695848,2.823,3.252,712.290,711.963,703.954,1.149,39.541,3.405,756.234,767.167
174,0,2729,2676,3,44695848,2.645,3.135,351.793,351.455,343.636,1.421,70.681,8.984,427.032,448.889
175,0,2729,2676,3,44695848,2.644,3.077,384.954,384.637,376.481,1.121,71.068,9.133,460.221,481.675
176,0,2729,2675,3,44695848,2.576,3.086,466.474,466.139,457.943,1.508,22.214,3.131,493.284,504.017
177,0,2729,2675,3,44695848,2.615,3.083,623.511,623.163,615.372,1.249,19.367,3.076,647.212,657.864
178,0,2729,2675,3,44695848,2.865,3.311,444.768,444.446,436.507,1.529,45.690,3.709,495.300,506.951
179,0,2729,2675,3,44695848,2.888,3.041,468.219,467.881,460.072,1.346,48.582,3.263,521.190,532.499
180,0,2729,2675,3,44695848,2.621,3.100,710.988,710.670,702.680,1.301,70.829,9.186,786.220,807.648
181,0,2729,2675,3,44695848,2.612,2.974,331.618,331.264,323.282,1.190,46.351,3.073,382.134,392.969
182,0,2729,2680,3,44695848,2.645,3.124,65.383,8.160,57.052,1.458,70.969,7.800,140.937,161.438
183,0,2729,2675,3,44695848,2.623,2.883,170.619,170.286,162.353,1.421,70.928,9.413,245.853,268.026
184,0,2729,2675,3,44695848,2.584,2.981,228.205,227.939,222.663,1.146,71.393,9.491,303.727,325.695
185,0,2729,2676,3,44695848,2.588,2.898,189.506,189.188,181.405,1.200,71.560,9.021,265.166,287.303
186,0,2729,2675,3,44695848,2.632,3.178,264.705,264.369,256.366,1.522,70.976,8.900,340.384,361.659
187,0,2729,2675,3,44695848,25.334,3.342,115.688,115.354,109.326,1.156,70.352,9.796,190.540,236.012
188,0,2729,2675,3,44695848,2.579,3.115,170.658,170.328,162.597,1.173,16.447,3.076,191.396,202.019
189,0,2729,2690,3,44695848,2.588,3.090,64.395,64.129,57.259,1.512,71.112,8.020,140.113,160.545
190,0,2729,2675,3,44695848,2.877,3.284,93.604,93.312,85.175,1.188,71.468,8.890,169.547,191.611
191,0,2729,2676,3,44695848,23.431,3.039,236.665,236.323,228.247,1.184,72.151,8.774,313.042,354.962
192,0,2729,2675,3,44695848,24.416,3.316,272.994,272.668,264.856,1.270,70.346,10.217,347.928,393.203
193,0,2729,2675,3,44695848,2.574,2.909,187.470,187.127,179.133,1.198,71.231,8.958,262.810,284.265
194,0,2729,2675,3,44695848,25.058,3.389,138.834,138.479,130.714,1.179,70.804,8.776,214.208,257.674
195,0,2729,2675,3,44695848,2.648,3.120,132.602,132.145,124.025,1.432,70.117,9.949,207.273,230.063
196,0,2729,2675,3,44695848,2.655,3.145,359.062,358.689,350.710,1.418,19.077,2.999,382.704,393.224
197,0,2729,2676,3,44695848,23.801,3.032,416.775,416.419,408.207,1.265,70.819,9.580,491.893,535.574
198,0,2729,2675,3,44695848,2.625,3.123,158.853,158.581,153.319,1.126,70.963,9.094,234.066,255.687
199,0,2729,2675,3,44695848,2.654,3.001,382.201,381.826,373.764,1.383,70.955,9.385,457.543,479.083
